,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
110,RA1,1,,1.0,569.0,280.0,2.0,2.0,Congruent,90,0.3,0.5,200.0,3.0,10.0,14.0,28.0,0.21,9050,110,disc
111,RA1,1,,1.0,866.0,239.0,1.0,1.0,Congruent,90,0.2,0.5,300.0,15.0,30.0,4.0,20.0,0.27,9050,111,disc
112,RA1,1,,0.0,863.0,280.0,1.0,2.0,Congruent,90,0.3,0.5,200.0,9.0,18.0,6.0,20.0,0.67,9050,112,disc
113,RA1,1,,1.0,569.0,260.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,9.0,18.0,20.0,25.0,0.45,9050,113,disc
114,RA1,1,,1.0,1088.0,280.0,2.0,2.0,Congruent,90,0.2,0.5,300.0,2.0,10.0,4.0,8.0,0.5,9050,114,disc
115,RA1,1,,1.0,627.0,260.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,3.0,6.0,14.0,20.0,0.21,9050,115,disc
116,RA1,1,,1.0,816.0,303.0,2.0,2.0,Congruent,90,0.3,0.5,200.0,3.0,10.0,6.0,12.0,0.5,9050,116,disc
117,RA1,1,,0.0,2010.0,300.0,2.0,1.0,Congruent,90,0.2,0.5,300.0,1.0,5.0,3.0,6.0,0.33,9050,117,disc
118,RA1,1,,1.0,628.0,260.0,2.0,2.0,Congruent,90,0.5,0.6,100.0,5.0,10.0,15.0,25.0,0.33,9050,118,disc
119,RA1,1,,1.0,913.0,300.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,12.0,15.0,8.0,16.0,0.67,9050,119,disc
120,RA1,1,,1.0,821.0,240.0,2.0,2.0,Incongruent,50,0.2,0.4,200.0,5.0,25.0,2.0,5.0,0.4,9050,120,disc
121,RA1,1,,1.0,641.0,281.0,2.0,2.0,Congruent,50,0.5,0.8,300.0,1.0,2.0,16.0,20.0,0.06,9050,121,disc
122,RA1,1,,1.0,731.0,301.0,2.0,2.0,Congruent,50,0.2,0.5,300.0,6.0,30.0,16.0,32.0,0.38,9050,122,disc
123,RA1,1,,1.0,865.0,361.0,1.0,1.0,Congruent,50,0.15,0.25,100.0,4.0,16.0,3.0,20.0,0.75,9050,123,disc
